,model_type,learning_rate,hidden_size,optimizer,used_time,best_f1
0,lstm,0.01,64,adam,7.594453096,0.985392144
1,lstm,0.01,32,adam,9.992699862,0.966093558
2,lstm,0.001,64,adam,7.646294594,0.92188352
3,lstm,0.001,32,adam,7.106806755,0.915729349
4,lstm,0.0001,64,adam,7.640915871,0.626395287
5,lstm,0.0001,32,adam,7.076398849,0.444903635
6,lstm,0.001,32,sgd,6.428490639,0.084631345
7,lstm,0.01,64,sgd,6.917965889,0.064325512
8,lstm,0.0001,32,sgd,6.297631741,0.041085586
9,lstm,0.01,32,sgd,6.448829412,0.036411755
10,lstm,0.001,64,sgd,6.864786386,0.034371855
11,lstm,0.0001,64,sgd,6.903586626,0.026041766
12,gru,0.01,64,adam,7.176026821,0.996785622
13,gru,0.01,32,adam,6.952331305,0.985756571
14,gru,0.001,32,adam,7.094582081,0.944850293
15,gru,0.001,64,adam,7.289963007,0.941585365
16,gru,0.0001,64,adam,7.326557398,0.496500484
17,gru,0.0001,32,adam,6.982632637,0.345783028
18,gru,0.001,64,sgd,6.557599545,0.131696735
19,gru,0.01,32,sgd,6.165271282,0.122049238
20,gru,0.01,64,sgd,6.612099171,0.120597631
21,gru,0.001,32,sgd,6.244074106,0.06100307
22,gru,0.0001,32,sgd,6.189629078,0.033943109
23,gru,0.0001,64,sgd,6.485545397,0.006774472
24,rnn,0.01,64,adam,6.876735449,0.895878021
25,rnn,0.01,32,adam,6.758241892,0.882506552
26,rnn,0.001,64,adam,6.988137484,0.870365354
27,rnn,0.001,32,adam,6.765068054,0.645032019
28,rnn,0.0001,64,adam,6.941038609,0.491245214
29,rnn,0.0001,32,adam,6.704504251,0.247175469
30,rnn,0.01,64,sgd,6.241297483,0.196914938
31,rnn,0.01,32,sgd,6.065152645,0.178672886
32,rnn,0.001,64,sgd,6.334453344,0.100936838
33,rnn,0.001,32,sgd,6.03340888,0.055268085
34,rnn,0.0001,32,sgd,6.089066505,0.027785472
35,rnn,0.0001,64,sgd,6.224535227,0.00778527
36,cnn,0.01,64,adam,5.782347441,0.982450681
37,cnn,0.01,32,adam,6.244637966,0.969971512
38,cnn,0.001,64,adam,5.794053793,0.912264873
39,cnn,0.001,32,adam,5.778851986,0.9037924
40,cnn,0.0001,64,adam,5.900228739,0.469116913
41,cnn,0.0001,32,adam,5.85307312,0.412430266
42,cnn,0.01,32,sgd,5.089144468,0.287888713
43,cnn,0.01,64,sgd,5.307467699,0.286053964
44,cnn,0.001,32,sgd,5.121443748,0.127001009
45,cnn,0.001,64,sgd,5.386391401,0.076341006
46,cnn,0.0001,64,sgd,5.392016172,0.031977179
47,cnn,0.0001,32,sgd,5.212198019,0.019276316
48,gated_cnn,0.01,32,adam,6.342633247,0.979370183
49,gated_cnn,0.01,64,adam,6.505652189,0.970964981
50,gated_cnn,0.001,32,adam,6.433697224,0.936788958
51,gated_cnn,0.001,64,adam,6.652335882,0.934233585
52,gated_cnn,0.0001,64,adam,6.587819338,0.499979078
53,gated_cnn,0.0001,32,adam,6.356528044,0.431294007
54,gated_cnn,0.01,64,sgd,5.924805641,0.147332786
55,gated_cnn,0.01,32,sgd,5.537408352,0.12562506
56,gated_cnn,0.001,64,sgd,6.07132268,0.061620424
57,gated_cnn,0.001,32,sgd,5.578006983,0.054369847
58,gated_cnn,0.0001,32,sgd,5.543118954,0.046128297
59,gated_cnn,0.0001,64,sgd,5.810439348,0.031660832
60,rcnn,0.01,32,adam,11.5894165,0.947211955
61,rcnn,0.01,64,adam,11.49667835,0.938013858
62,rcnn,0.001,64,adam,11.50108862,0.89350136
63,rcnn,0.001,32,adam,11.45946145,0.854276293
64,rcnn,0.0001,64,adam,11.50374889,0.413522223
65,rcnn,0.0001,32,adam,11.50759745,0.36985696
66,rcnn,0.01,64,sgd,10.63879275,0.180735338
67,rcnn,0.01,32,sgd,10.60378885,0.123933002
68,rcnn,0.0001,32,sgd,10.69670606,0.056468021
69,rcnn,0.001,32,sgd,10.66731405,0.044398487
70,rcnn,0.001,64,sgd,10.61181641,0.038768784
71,rcnn,0.0001,64,sgd,10.69914031,0.035831688
72,bert,0.001,32,adam,75.5494101,0.987552391
73,bert,0.0001,32,adam,75.28003192,0.987063401
74,bert,0.001,64,adam,74.83540154,0.98253991
75,bert,0.0001,64,adam,76.88291264,0.981701235
76,bert,0.01,64,sgd,69.03180838,0.907370163
77,bert,0.01,32,sgd,68.83954239,0.89932743
78,bert,0.01,64,adam,75.68541789,0.890574449
79,bert,0.01,32,adam,75.94131565,0.878756925
80,bert,0.001,32,sgd,68.82831359,0.518925432
81,bert,0.001,64,sgd,69.00007129,0.461982576
82,bert,0.0001,32,sgd,69.18300295,0.107958394
83,bert,0.0001,64,sgd,68.72718453,0.107238818
84,bert_lstm,0.0001,32,adam,115.1105406,0.991207505
85,bert_lstm,0.001,64,adam,114.1816626,0.989405334
86,bert_lstm,0.001,32,adam,113.8859856,0.982314351
87,bert_lstm,0.0001,64,adam,114.4591284,0.981755663
88,bert_lstm,0.01,32,adam,115.1630504,0.834272454
89,bert_lstm,0.01,64,sgd,105.705734,0.798245449
90,bert_lstm,0.01,32,sgd,106.9393909,0.764562571
91,bert_lstm,0.01,64,adam,114.9618886,0.706542779
92,bert_lstm,0.001,64,sgd,105.5244133,0.134648168
93,bert_lstm,0.0001,64,sgd,105.1784427,0.071463537
94,bert_lstm,0.001,32,sgd,102.1858921,0.0655034
95,bert_lstm,0.0001,32,sgd,102.6064601,0.034667249
96,bert_mid,0.0001,32,adam,76.60139275,0.991444887
97,bert_mid,0.001,32,adam,76.11774898,0.988723785
98,bert_mid,0.001,64,adam,75.88745713,0.985832608
99,bert_mid,0.0001,64,adam,75.76812291,0.979945295
100,bert_mid,0.01,32,adam,75.8440249,0.979118356
101,bert_mid,0.01,64,adam,75.42022777,0.96870202
102,bert_mid,0.01,32,sgd,69.13683581,0.890163594
103,bert_mid,0.01,64,sgd,69.52795601,0.879748108
104,bert_mid,0.001,64,sgd,69.87887526,0.575455907
105,bert_mid,0.001,32,sgd,70.78679776,0.525382742
106,bert_mid,0.0001,32,sgd,70.24253821,0.156229749
107,bert_mid,0.0001,64,sgd,70.23549151,0.144204012
